Column2;Column3;Column5;Column7;Column9;Column11;Column13;Column15;Column17;Column19;Column21;Column23;Column25
Country;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;..;..;0.674;0.665;0.654;0.644;0.633;0.623;0.614;0.605;0.590;0.575
Albania;..;0.380;0.329;0.269;0.273;0.273;0.266;0.261;0.256;0.249;0.236;0.234
Algeria;0.679;0.627;0.561;0.523;0.515;0.434;0.432;0.439;0.442;0.439;0.447;0.443
Angola;..;..;..;..;..;..;..;0.577;0.575;0.572;0.580;0.578
Argentina;0.418;0.409;0.371;0.371;0.368;0.365;0.365;0.365;..;0.359;0.355;0.354
Armenia;0.474;0.468;0.403;0.345;0.340;0.319;0.311;0.305;0.301;0.300;0.263;0.259
Australia;0.180;0.160;0.139;0.138;0.132;0.128;0.119;0.116;0.110;0.107;0.104;0.103
Austria;0.186;0.150;0.118;0.111;0.106;0.102;0.093;0.090;0.089;0.086;0.078;0.073
Azerbaijan;..;..;0.325;0.302;0.303;0.303;0.309;0.315;0.310;0.315;0.318;0.321
Bahamas;..;0.387;0.360;0.386;0.385;0.383;0.379;0.379;0.374;0.372;0.353;0.353
Bahrain;..;..;0.325;0.236;0.222;0.221;0.215;0.218;0.226;0.225;0.223;0.207
Bangladesh;0.708;0.680;0.634;0.588;0.578;0.570;0.563;0.555;0.549;0.547;0.538;0.536
Barbados;0.372;0.356;0.347;0.320;0.314;0.307;0.296;0.293;0.295;0.289;0.283;0.256
Belarus;..;..;..;0.150;0.149;0.154;0.153;0.153;0.153;0.136;0.129;0.119
Belgium;0.162;0.122;0.104;0.091;0.086;0.081;0.074;0.063;0.057;0.053;0.050;0.045
Belize;0.515;0.481;0.464;0.425;0.414;0.398;0.390;0.387;0.386;0.384;0.393;0.391
Benin;0.682;0.678;0.656;0.623;0.631;0.626;0.621;0.617;0.622;0.618;0.614;0.613
Bhutan;..;..;..;..;..;0.490;0.530;0.511;0.495;0.491;0.484;0.436
Bolivia (Plurinational State of);..;0.587;0.557;0.503;0.498;0.496;0.490;0.455;0.456;0.448;0.448;0.446
Bosnia and Herzegovina;..;..;..;0.235;0.211;0.202;0.194;..;0.177;0.173;0.167;0.162
Botswana;0.575;0.531;0.522;0.503;0.498;0.494;0.485;0.472;0.469;0.467;0.466;0.464
Brazil;0.519;0.507;0.470;0.456;0.450;0.448;0.430;0.421;0.413;0.410;0.404;0.386
Brunei Darussalam;..;..;..;..;..;..;..;..;..;0.276;0.243;0.234
Bulgaria;0.373;0.336;0.253;0.238;0.236;0.222;0.224;0.236;0.234;0.232;0.220;0.218
Burkina Faso;..;..;0.645;0.619;0.615;0.609;0.605;..;0.623;0.621;0.612;0.612
Burundi;..;0.622;0.571;0.544;0.543;0.539;0.535;0.531;0.524;0.523;0.521;0.520
Cabo Verde;..;..;..;..;..;..;..;..;0.378;0.376;0.374;0.372
Cambodia;0.660;0.598;0.561;0.493;0.488;0.484;0.481;0.478;0.476;0.475;0.476;0.474
Cameroon;0.697;0.688;0.657;0.623;0.620;0.616;0.582;0.579;0.577;0.574;0.572;0.566
Canada;0.184;..;0.133;0.126;0.118;0.115;0.113;0.110;0.108;0.099;0.092;0.083
Central African Republic;0.742;0.710;0.692;0.688;0.675;0.673;..;..;..;0.693;0.684;0.682
Chad;..;..;..;..;..;..;..;..;0.707;0.705;0.710;0.701
Chile;0.477;0.433;0.383;0.362;0.357;0.352;0.337;0.335;0.333;0.326;..;0.288
China;..;0.268;0.234;0.192;0.187;0.182;0.170;0.167;0.165;0.164;0.164;0.163
Colombia;0.523;0.503;0.492;0.456;0.441;0.435;0.436;0.417;0.413;0.410;0.411;0.411
Congo;..;0.616;0.618;0.613;0.609;0.607;0.604;0.593;0.592;0.590;0.580;0.579
Congo (Democratic Republic of the);..;..;0.665;0.679;..;0.674;0.646;0.655;0.659;0.656;0.655;0.655
Costa Rica;0.463;0.423;0.345;0.321;0.318;0.308;0.304;0.312;0.308;0.309;0.303;0.285
Croatia;0.279;0.206;0.164;0.146;0.144;0.139;0.133;0.127;0.150;0.158;0.128;0.122
Cuba;0.419;0.379;0.341;0.326;0.323;0.322;0.319;0.319;0.320;0.319;0.318;0.313
Cyprus;0.340;0.258;0.140;0.132;0.139;0.137;0.134;0.118;0.114;0.090;0.087;0.086
Czechia;0.252;..;0.153;0.135;0.133;0.133;0.138;0.139;0.134;0.135;0.133;0.137
C?te d'Ivoire;0.706;..;0.690;0.679;0.667;0.667;0.663;0.664;0.663;0.660;0.658;0.657
Denmark;0.102;0.076;0.064;0.056;0.052;0.049;0.046;0.044;0.044;0.042;0.041;0.040
Dominican Republic;0.581;0.494;0.478;0.473;0.497;0.454;0.489;0.483;0.473;0.457;0.454;0.453
Ecuador;0.583;0.490;0.458;0.421;0.425;0.420;0.407;0.400;0.393;0.387;0.390;0.389
Egypt;0.665;0.636;0.580;..;..;0.576;..;..;..;0.452;0.452;0.450
El Salvador;0.527;0.521;0.489;0.442;0.442;0.418;0.412;0.407;0.397;0.394;0.398;0.397
Estonia;0.387;0.282;0.213;0.169;0.173;0.167;0.162;0.164;0.144;0.132;0.110;0.091
Eswatini (Kingdom of);0.651;0.664;0.621;0.577;0.571;0.565;0.583;0.578;0.574;0.572;0.571;0.579
Ethiopia;..;..;0.614;0.580;0.574;0.569;0.558;0.547;0.519;0.515;0.512;0.508
Fiji;0.494;..;0.423;..;..;..;..;0.366;0.360;0.365;0.367;0.357
Finland;0.101;0.085;0.088;0.077;0.073;0.070;0.067;0.065;0.063;0.059;0.055;0.050
France;0.199;0.172;0.138;0.107;0.105;0.091;0.089;0.087;0.086;0.080;0.058;0.051
Gabon;0.623;0.609;0.586;0.555;0.554;0.550;0.548;0.547;0.543;0.542;0.537;0.534
Gambia;0.756;0.748;0.657;0.665;0.661;0.657;0.653;0.640;0.637;0.633;0.625;0.620
Georgia;0.425;0.422;0.388;0.420;0.419;0.382;0.380;0.378;0.378;0.356;0.354;0.351
Germany;0.156;0.130;0.117;0.097;0.093;0.091;0.083;0.081;0.076;0.076;0.084;0.084
Ghana;0.628;..;0.575;0.574;0.572;..;0.556;0.556;0.555;0.553;0.543;0.541
Greece;0.284;0.221;0.179;0.157;0.148;0.136;0.132;0.127;0.126;0.122;0.124;0.122
Guatemala;0.585;0.596;0.575;0.539;0.528;0.520;0.520;0.502;0.499;0.492;0.495;0.492
Guyana;..;0.544;0.534;0.523;0.517;0.514;0.509;0.506;0.503;0.500;0.495;0.492
Haiti;..;..;0.593;..;0.615;0.621;0.619;0.617;0.614;0.765;0.622;0.620
Honduras;..;0.550;0.510;0.520;0.518;0.513;..;0.480;0.475;0.473;..;0.479
Hungary;0.322;0.288;0.260;0.255;0.262;0.262;0.263;0.256;0.261;0.265;0.270;0.258
Iceland;0.184;0.148;0.125;0.099;0.098;0.093;0.088;0.083;0.075;0.064;0.065;0.057
India;0.696;..;0.629;0.600;0.594;0.589;0.578;0.563;0.551;0.538;0.522;0.501
Indonesia;0.580;0.561;0.539;0.486;0.481;0.475;0.471;0.472;0.467;0.464;0.453;0.451
Iran (Islamic Republic of);0.661;0.596;0.511;0.529;0.535;0.532;0.536;0.539;0.528;0.484;0.488;0.492
Iraq;0.693;0.652;..;0.556;0.556;0.556;0.553;0.552;0.549;0.546;0.544;0.540
Ireland;0.203;0.198;0.191;0.170;0.154;0.148;0.140;0.135;0.129;0.109;0.101;0.093
Israel;0.244;0.197;0.173;0.149;0.144;0.140;0.130;0.127;0.114;0.110;0.104;0.100
Italy;0.198;0.178;0.176;0.125;0.121;0.116;0.091;0.087;0.087;0.084;0.080;0.069
Jamaica;0.479;0.470;0.469;0.455;0.444;0.440;0.435;0.427;0.423;0.412;0.408;0.405
Japan;0.156;0.135;0.146;0.121;0.120;0.129;0.130;0.127;0.121;0.108;0.102;0.099
Jordan;0.673;0.632;0.560;0.494;0.497;0.496;0.494;0.493;0.493;0.474;0.471;0.469
Kazakhstan;0.447;0.404;0.360;0.268;0.257;0.231;0.221;0.212;0.212;0.209;0.204;0.203
Kenya;0.706;0.695;0.654;0.614;0.610;0.606;0.569;0.564;0.560;0.557;0.548;0.545
Korea (Republic of);0.277;0.191;0.107;0.098;0.092;0.083;0.078;0.072;0.068;0.063;0.060;0.058
Kuwait;0.577;0.576;0.367;0.215;0.210;0.220;0.215;0.310;0.308;0.286;0.251;0.245
Kyrgyzstan;0.512;0.476;0.677;0.365;0.375;0.377;0.384;0.384;0.400;0.396;0.389;0.381
Lao People's Democratic Republic;..;0.580;0.545;0.510;0.503;0.495;0.487;0.480;0.474;0.466;0.465;0.463
Latvia;0.411;0.276;0.217;0.208;0.205;0.191;0.188;0.202;0.199;0.199;0.208;0.169
Lebanon;..;..;..;0.412;0.409;0.407;0.404;0.405;0.402;0.399;0.395;0.362
Lesotho;0.577;0.589;0.583;0.565;0.559;0.552;0.550;0.547;0.547;0.541;0.545;0.546
Liberia;..;0.690;0.677;0.660;0.669;0.663;0.660;0.657;0.660;0.658;0.659;0.651
Libya;..;..;0.300;0.246;..;0.190;0.182;0.175;0.174;0.171;0.173;0.172
Lithuania;0.326;0.281;0.185;0.168;0.171;0.145;0.142;0.137;0.133;0.134;0.129;0.124
Luxembourg;0.200;0.175;0.156;0.132;0.113;0.115;0.090;0.084;0.077;0.072;0.065;0.078
Malawi;0.717;0.691;0.654;0.623;0.616;0.615;0.614;0.625;0.624;0.621;0.618;0.615
Malaysia;0.390;0.335;0.324;0.309;0.309;0.302;0.291;0.283;0.286;0.287;0.286;0.274
Maldives;0.649;0.536;0.431;0.424;0.412;0.401;0.388;0.387;0.384;0.380;0.375;0.367
Mali;0.711;0.709;0.707;0.669;0.673;0.674;..;0.677;0.678;0.678;0.677;0.676
Malta;0.334;0.320;0.305;0.272;0.265;0.254;0.204;0.196;0.197;0.195;0.197;0.195
Mauritania;0.807;0.755;..;0.656;0.652;0.647;..;0.629;0.625;0.622;0.612;0.620
Mauritius;0.479;0.453;0.369;0.382;0.370;0.371;0.363;0.358;0.379;0.377;0.373;0.369
Mexico;0.512;0.492;0.430;0.401;0.393;0.370;0.366;0.361;0.352;0.349;0.346;0.334
Moldova (Republic of);0.479;0.420;0.295;0.286;0.258;0.259;0.253;0.258;0.240;0.237;0.232;0.228
Mongolia;0.502;0.452;0.412;0.406;0.406;0.318;0.317;0.317;0.321;0.314;0.318;0.322
Montenegro;..;..;..;0.216;0.203;0.176;0.175;0.165;0.159;0.135;0.128;0.119
Morocco;0.721;0.706;0.586;0.564;0.533;0.530;0.526;0.525;0.504;0.494;0.494;0.492
Mozambique;..;0.634;0.623;0.605;0.598;0.590;0.583;..;0.572;0.572;0.570;0.569
Myanmar;..;..;..;0.517;0.533;0.507;0.505;0.507;0.443;0.458;0.460;0.459
Namibia;0.548;0.545;0.527;0.514;0.512;0.508;0.500;..;0.477;0.475;0.470;0.460
Nepal;0.709;0.669;0.651;0.534;0.525;0.516;..;0.506;0.499;0.494;0.488;0.476
Netherlands;0.114;0.096;0.083;0.054;0.051;0.051;0.049;0.048;0.048;0.045;0.044;0.041
New Zealand;0.222;0.190;0.188;0.186;0.179;0.174;0.170;0.164;0.156;0.152;0.137;0.133
Nicaragua;0.629;0.606;0.542;0.520;0.479;0.482;0.479;0.472;0.469;0.461;0.458;0.455
Niger;0.801;0.797;0.701;..;0.683;0.679;0.674;0.669;0.667;0.659;0.649;0.647
North Macedonia;..;..;..;..;..;..;..;..;0.162;0.161;0.150;0.145
Norway;0.121;0.108;0.085;0.075;0.071;0.067;0.062;0.058;0.054;0.051;0.047;0.044
Oman;..;..;0.391;0.328;0.321;0.319;0.317;0.314;0.317;0.311;0.307;0.304
Pakistan;0.768;..;0.604;0.578;0.577;0.563;0.563;0.557;0.551;0.550;0.549;0.547
Panama;0.521;0.506;0.475;0.520;0.523;0.519;0.515;0.469;0.467;0.465;0.462;0.460
Papua New Guinea;0.673;0.666;0.682;0.667;0.663;0.607;0.604;0.600;0.597;0.594;0.742;0.740
Paraguay;0.572;0.552;0.541;0.511;0.508;0.498;0.479;0.484;0.482;0.483;0.485;0.482
Peru;0.555;..;0.461;0.421;0.427;0.415;0.410;0.405;0.402;0.385;0.383;0.381
Philippines;0.480;0.476;0.467;0.449;0.446;0.447;0.433;0.430;0.430;0.424;0.427;0.425
Poland;0.258;0.205;0.164;0.170;0.156;0.154;0.153;0.149;0.142;0.136;0.128;0.120
Portugal;0.244;0.209;0.183;0.141;0.129;0.130;0.115;0.110;0.099;0.094;0.088;0.081
Qatar;..;..;..;0.580;0.555;0.552;0.551;0.543;0.539;0.537;0.209;0.202
Romania;0.471;..;0.352;0.365;0.362;0.349;0.350;0.347;0.346;0.346;0.316;0.316
Russian Federation;0.467;0.423;0.359;0.316;0.311;0.300;0.296;0.294;0.280;0.278;0.262;0.255
Rwanda;0.583;0.554;0.487;0.446;0.440;0.435;0.424;0.420;0.415;0.413;0.412;0.412
Saint Lucia;..;..;..;..;..;..;0.356;0.355;0.341;0.339;0.336;0.333
Samoa;..;0.471;0.459;0.418;0.455;0.451;0.445;0.413;0.409;0.374;0.369;0.364
Sao Tome and Principe;..;..;..;0.548;0.546;0.546;0.544;0.542;0.540;0.538;0.536;0.547
Saudi Arabia;..;..;0.671;0.633;0.623;0.621;0.271;0.265;0.254;0.241;0.232;0.224
Senegal;0.646;0.641;0.628;0.583;0.578;0.550;0.542;0.535;0.531;0.528;0.524;0.523
Serbia;..;..;..;0.221;0.218;0.189;0.190;0.186;0.184;0.176;0.168;0.162
Sierra Leone;..;0.696;0.670;0.665;0.662;0.660;0.657;0.655;0.653;0.649;0.646;0.644
Singapore;0.250;0.274;0.168;0.099;0.102;0.092;0.083;0.070;0.068;0.066;0.066;0.065
Slovakia;0.248;0.219;0.189;0.195;0.194;0.185;0.186;0.186;0.186;0.184;0.187;0.190
Slovenia;0.246;..;0.139;0.126;0.077;0.072;0.072;0.065;0.063;0.058;0.053;0.069
South Africa;0.422;0.416;0.421;0.432;0.433;0.433;0.430;0.428;0.427;0.426;0.424;0.422
Spain;0.157;0.119;0.117;0.115;0.109;0.103;0.098;0.090;0.084;0.080;0.077;0.074
Sri Lanka;0.471;..;0.439;0.408;0.398;0.400;0.392;0.390;0.398;0.384;0.381;0.380
Sudan;0.720;..;0.666;0.625;0.618;0.612;0.605;0.599;0.579;0.573;0.566;0.560
Suriname;..;..;0.517;0.534;0.517;0.514;0.514;0.511;0.468;0.469;0.467;0.465
Sweden;0.090;0.061;0.052;0.050;0.049;0.048;0.047;0.046;0.045;0.044;0.043;0.040
Switzerland;0.117;0.094;0.073;0.062;0.061;0.058;0.052;0.049;0.047;0.043;0.040;0.037
Syrian Arab Republic;0.569;0.548;0.544;0.549;0.551;0.555;0.558;0.560;0.559;0.551;0.547;0.547
Tajikistan;0.583;0.438;0.376;0.367;0.370;0.371;0.373;0.382;0.384;0.370;0.374;0.377
Tanzania (United Republic of);0.653;..;0.594;..;0.562;0.558;0.553;0.549;0.544;0.541;0.539;0.539
Thailand;0.400;0.397;0.348;0.319;0.309;0.313;0.314;0.380;0.378;0.374;0.386;0.377
Togo;0.736;0.663;0.633;0.607;0.605;0.602;0.583;0.573;0.573;0.570;0.567;0.566
Tonga;0.683;0.677;0.488;0.681;0.485;0.484;0.480;0.674;0.672;0.670;0.419;0.418
Trinidad and Tobago;0.426;..;0.353;0.354;0.352;0.349;0.348;0.348;0.334;0.328;0.327;0.324
Tunisia;0.530;0.429;0.339;0.313;0.306;0.304;0.305;0.295;0.297;0.298;0.299;0.300
Turkey;0.631;0.591;0.564;0.425;0.381;0.367;0.354;0.347;0.333;0.326;0.321;0.305
Uganda;0.652;0.647;0.597;0.569;0.558;0.552;0.546;0.541;0.536;0.536;0.532;0.531
Ukraine;0.480;0.385;0.372;0.337;0.333;0.322;0.316;0.302;0.298;0.294;0.289;0.284
United Arab Emirates;0.644;0.609;0.592;0.231;0.237;0.227;0.216;0.205;0.178;0.160;0.138;0.113
United Kingdom;0.237;0.215;0.206;0.183;0.176;0.172;0.167;0.161;0.146;0.138;0.128;0.119
United States;0.305;..;0.263;0.254;0.250;0.240;0.235;0.225;0.219;0.211;0.202;0.182
Uruguay;0.438;0.389;0.375;0.327;0.326;0.321;0.323;0.320;0.288;0.286;0.276;0.275
Uzbekistan;..;..;..;..;..;..;0.287;0.291;0.303;0.303;0.303;0.303
Venezuela (Bolivarian Republic of);0.537;..;0.475;0.475;0.474;0.473;0.472;0.471;0.470;0.481;0.459;0.458
Viet Nam;0.382;0.347;0.317;0.324;0.328;0.329;0.329;0.330;0.333;0.323;0.318;0.314
Yemen;..;0.818;0.813;0.821;0.823;0.826;0.829;0.831;0.841;0.837;0.835;0.834
Zambia;0.644;0.653;0.620;0.587;0.592;0.588;0.585;0.584;0.571;0.548;0.543;0.540
Zimbabwe;0.595;0.627;0.588;0.578;0.572;0.567;0.530;0.534;0.540;0.535;0.528;0.525
Andorra;..;..;..;..;..;..;..;..;..;..;..;..
Antigua and Barbuda;..;..;..;..;..;..;..;..;..;..;..;..
Comoros;..;..;..;..;..;..;..;..;..;..;..;..
Djibouti;..;..;..;..;..;..;..;..;..;..;..;..
Dominica;..;..;..;..;..;..;..;..;..;..;..;..
Eritrea;..;..;..;..;..;..;..;..;..;..;..;..
Micronesia (Federated States of);..;..;..;..;..;..;..;..;..;..;..;..
Guinea;..;..;..;..;..;..;..;..;..;..;..;..
Guinea-Bissau;..;..;..;..;..;..;..;..;..;..;..;..
Equatorial Guinea;..;..;..;..;..;..;..;..;..;..;..;..
Grenada;..;..;..;..;..;..;..;..;..;..;..;..
Hong Kong, China (SAR);..;..;..;..;..;..;..;..;..;..;..;..
Kiribati;..;..;..;..;..;..;..;..;..;..;..;..
Saint Kitts and Nevis;..;..;..;..;..;..;..;..;..;..;..;..
Liechtenstein;..;..;..;..;..;..;..;..;..;..;..;..
Madagascar;..;..;..;..;..;..;..;..;..;..;..;..
Marshall Islands;..;..;..;..;..;..;..;..;..;..;..;..
Nigeria;..;..;..;..;..;..;..;..;..;..;..;..
Palau;..;..;..;..;..;..;..;..;..;..;..;..
Palestine, State of;..;..;..;..;..;..;..;..;..;..;..;..
Solomon Islands;..;..;..;..;..;..;..;..;..;..;..;..
South Sudan;..;..;..;..;..;..;..;..;..;..;..;..
Seychelles;..;..;..;..;..;..;..;..;..;..;..;..
Turkmenistan;..;..;..;..;..;..;..;..;..;..;..;..
Timor-Leste;..;..;..;..;..;..;..;..;..;..;..;..
Saint Vincent and the Grenadines;..;..;..;..;..;..;..;..;..;..;..;..
Vanuatu;..;..;..;..;..;..;..;..;..;..;..;..
Human Development;..;..; ;..;..;..;..;..;..;..;..;..
Low human development;..;..;0.643;0.625;0.616;0.614;0.605;0.606;0.598;0.594;0.591;0.590
Medium human development;0.674;..;0.597;0.562;0.557;0.550;0.544;0.533;0.522;0.514;0.507;0.501
High human development;..;0.422;0.389;0.364;0.359;0.354;0.344;0.340;0.337;0.335;0.334;0.331
Very high human development;0.330;0.290;0.256;0.228;0.220;0.214;0.206;0.201;0.196;0.189;0.181;0.175
Developing Countries;..;0.555;0.524;0.501;0.496;0.491;0.485;0.480;0.475;0.472;0.469;0.466
Regions; ;..;..;..;..;..;..;..;..;..;..;..
Arab States;0.684;0.662;0.615;0.577;0.572;0.562;0.550;0.547;0.540;0.535;0.534;0.531
Europe and Central Asia;0.488;0.444;0.381;0.319;0.311;0.301;0.296;0.292;0.290;0.284;0.279;0.276
East Asia and the Pacific;..;0.376;0.348;0.331;0.330;0.327;0.320;0.318;0.313;0.312;0.312;0.310
South Asia;0.704;..;0.612;0.572;0.567;0.562;0.566;0.546;0.538;0.529;0.518;0.515
Latin America and the Caribbean;0.510;0.486;0.450;0.429;0.424;0.417;0.408;0.402;0.397;0.393;0.389;0.383
Sub-Saharan Africa;..;..;0.619;0.601;0.593;0.592;0.584;0.584;0.579;0.576;0.573;0.572
Least Developed Countries;..;..;0.622;0.596;0.589;0.584;0.579;0.576;0.567;0.566;0.563;0.561
Small Island Developing States;..;..;..;0.474;0.472;0.466;0.465;0.463;0.459;0.457;0.456;0.452
Organization for Economic Co-operation and Development;0.314;0.291;0.260;0.234;0.226;0.220;0.213;0.207;0.201;0.195;0.189;0.182
World;0.547;0.521;0.493;0.473;0.467;0.463;0.457;0.454;0.449;0.446;0.442;0.439
;;;;;;;;;;;;
;;;;;;;;;;;;
